profile,school,schoolName,deviation,strategy,runs,fullPassRate,acceptedRate,waitlistRate,legendRate,failedRate,avgAcademics,avgTrust,avgFace,avgLooks,avgStamina,avgStress,topCards
bancho,johoku,城北実学大学,52,balanced,1000,0.792,0.792,0.208,0.000,0.000,75.8,99.2,99.8,98.8,51.2,12.0,ramen_meeting:76.3 cram_school:19.6 mock_exam:18.0 study_library:13.8
bancho,johoku,城北実学大学,52,academic,1000,0.942,1.000,0.000,0.000,0.000,99.6,97.8,46.0,99.3,19.7,30.9,cram_school:73.8 sleep_early:36.9 study_library:28.6 rescue_fight:3.8
bancho,johoku,城北実学大学,52,random,1000,0.934,0.935,0.046,0.018,0.001,92.5,98.5,97.7,98.2,21.8,36.2,sleep_early:30.8 ramen_meeting:30.1 cram_school:28.0 study_library:25.3
bancho,johoku,城北実学大学,52,social,1000,0.989,0.989,0.002,0.000,0.009,85.8,74.5,72.8,99.9,98.8,1.6,sleep_early:74.1 cram_school:49.6 rescue_fight:19.8 ramen_meeting:0.5
bancho,toto,東都学院大学,60,balanced,1000,0.803,0.803,0.193,0.000,0.004,83.7,99.0,99.4,98.7,52.7,33.2,ramen_meeting:69.9 cram_school:24.8 mock_exam:16.5 sleep_early:14.9
bancho,toto,東都学院大学,60,academic,1000,0.924,0.994,0.000,0.000,0.006,98.9,90.3,50.0,86.7,31.0,68.0,cram_school:70.7 sleep_early:35.5 study_library:27.7 ramen_meeting:6.9
bancho,toto,東都学院大学,60,random,1000,0.788,0.788,0.105,0.084,0.023,88.6,94.2,96.0,86.6,21.6,68.4,sleep_early:30.6 ramen_meeting:30.4 cram_school:28.4 study_library:25.1
bancho,toto,東都学院大学,60,social,1000,0.965,0.989,0.001,0.000,0.010,92.3,85.4,72.2,98.5,91.6,9.4,cram_school:58.7 sleep_early:58.2 rescue_fight:23.4 ramen_meeting:3.8
bancho,teio,帝王義塾大学,68,balanced,1000,0.822,0.822,0.172,0.000,0.006,91.9,98.5,99.1,98.8,43.2,47.0,ramen_meeting:59.5 cram_school:31.9 sleep_early:19.9 mock_exam:13.3
bancho,teio,帝王義塾大学,68,academic,1000,0.925,0.997,0.000,0.000,0.003,99.2,88.9,56.7,87.7,32.9,72.6,cram_school:65.0 sleep_early:36.3 study_library:29.8 ramen_meeting:10.6
bancho,teio,帝王義塾大学,68,random,1000,0.372,0.372,0.224,0.295,0.109,80.0,91.8,92.8,79.3,17.1,76.9,ramen_meeting:31.7 sleep_early:31.3 cram_school:28.5 study_library:24.4
